M|15050,15080,15555,15630,15678,15888||000000-999999|
G|36969|Merkers|0-999999|
G|371|Chemnitz Sachsen|000-99999999|
G|37200|Wittgensdorf bei Chemnitz|0-999999|
G|37202|Claussnitz bei Chemnitz|0-999999|
G|37203|Gersdorf bei Chemnitz|0-999999|
G|37204|Lichtenstein Sachsen|0-999999|
G|37206|Frankenberg Sachsen|0-999999|
G|37207|Hainichen Sachsen|0-999999|
G|37208|Auerswalde|0-999999|
G|37209|Einsiedel bei Chemnitz|0-999999|
G|3721|Meinersdorf|00-9999999|
G|3722|Limbach-Oberfrohna|00-9999999|
G|3723|Hohenstein-Ernstthal|00-9999999|
G|3724|Burgstädt|00-9999999|
G|3725|Zschopau|00-9999999|
G|3726|Flöha|00-9999999|
G|3727|Mittweida|00-9999999|
G|37291|Augustusburg|0-999999|
G|37292|Oederan|0-999999|
G|37293|Eppendorf Sachsen|0-999999|
G|37294|Grünhainichen|0-999999|
G|37295|Lugau Erzgebirge|0-999999|
G|37296|Stollberg Erzgebirge|0-999999|
G|37297|Thum Sachsen|0-999999|
G|37298|Oelsnitz Erzgebirge|0-999999|
G|3731|Freiberg Sachsen|00-9999999|
G|37320|Mulda Sachsen|0-999999|
G|37321|Frankenstein Sachsen|0-999999|
G|37322|Brand-Erbisdorf|0-999999|
G|37323|Lichtenberg Erzgebirge|0-999999|
G|37324|Reinsberg Sachsen|0-999999|
G|37325|Niederbobritzsch|0-999999|
G|37326|Frauenstein Sachsen|0-999999|
G|37327|Rechenberg-Bienenmühle|0-999999|
G|37328|Grossschirma|0-999999|
G|37329|Grosshartmannsdorf|0-999999|
G|3733|Annaberg-Buchholz|00-9999999|
G|37341|Ehrenfriedersdorf|0-999999|
G|37342|Cranzahl|0-999999|
G|37343|Jöhstadt|0-999999|
G|37344|Crottendorf Sachsen|0-999999|
G|37346|Geyer|0-999999|
G|37347|Bärenstein Kreis Annaberg|0-999999|
G|37348|Oberwiesenthal Kurort|0-999999|
G|37349|Scheibenberg|0-999999|
G|3735|Marienberg Sachsen|00-9999999|
G|37360|Olbernhau|0-999999|
G|37361|Neuhausen Erzgebirge|0-999999|
G|37362|Seiffen Erzgebirge|0-999999|
G|37363|Zöblitz|0-999999|
G|37364|Reitzenhain Erzgebirge|0-999999|
G|37365|Sayda|0-999999|
G|37366|Rübenau|0-999999|
G|37367|Lengefeld Erzgebirge|0-999999|
G|37368|Deutschneudorf|0-999999|
G|37369|Wolkenstein|0-999999|
G|3737|Rochlitz|00-9999999|
G|37381|Penig|0-999999|
G|37382|Geringswalde|0-999999|
G|37383|Lunzenau|0-999999|
G|37384|Wechselburg|0-999999|
G|3741|Plauen|00-9999999|
G|37421|Oelsnitz Vogtland|0-999999|
G|37422|Markneukirchen|0-999999|
G|37423|Adorf Vogtland|0-999999|
G|37430|Eichigt|0-999999|
G|37431|Mehltheuer Vogtland|0-999999|
G|37432|Pausa Vogtland|0-999999|
G|37433|Gutenfürst|0-999999|
G|37434|Bobenneukirchen|0-999999|
G|37435|Reuth bei Plauen|0-999999|
G|37436|Weischlitz|0-999999|
G|37437|Bad Elster|0-999999|
G|37438|Bad Brambach|0-999999|
G|37439|Jocketa|0-999999|
G|3744|Auerbach Vogtland|00-9999999|
G|3745|Falkenstein Vogtland|00-9999999|
G|37462|Rothenkirchen Vogtland|0-999999|
G|37463|Bergen Vogtland|0-999999|
G|37464|Schöneck Vogtland|0-999999|
G|37465|Tannenbergsthal Vogtland|0-999999|
G|37467|Klingenthal Sachsen|0-999999|
G|37468|Treuen Vogtland|0-999999|
G|375|Zwickau|000-99999999|
G|37600|Neumark Sachsen|0-999999|
G|37601|Mülsen Skt Jacob|0-999999|
G|37602|Kirchberg Sachsen|0-999999|
G|37603|Wildenfels|0-999999|
G|37604|Mosel|0-999999|
G|37605|Hartenstein Sachsen|0-999999|
G|37606|Lengenfeld Vogtland|0-999999|
G|37607|Ebersbrunn Sachsen|0-999999|
G|37608|Waldenburg Sachsen|0-999999|
G|37609|Wolkenburg Mulde|0-999999|
G|3761|Werdau Sachsen|00-9999999|
G|3762|Crimmitschau|00-9999999|
G|3763|Glauchau|00-9999999|
G|3764|Meerane|00-9999999|
G|3765|Reichenbach Vogtland|00-9999999|
G|3771|Aue Sachsen|00-9999999|
G|3772|Schneeberg Erzgebirge|00-9999999|
G|3773|Johanngeorgenstadt|00-9999999|
G|3774|Schwarzenberg|00-9999999|
G|37752|Eibenstock|0-999999|
G|37754|Zwönitz|0-999999|
G|37755|Schönheide Erzgebirge|0-999999|
G|37756|Breitenbrunn Erzgebirge|0-999999|
G|37757|Rittersgrün|0-999999|
G|381|Rostock|000-99999999|
G|38201|Gelbensande|0-999999|
G|38202|Volkenshagen|0-999999|
G|38203|Bad Doberan|0-999999|
G|38204|Broderstorf|0-999999|
G|38205|Tessin bei Rostock|0-999999|
G|38206|Graal-Müritz Seeheilbad|0-999999|
G|38207|Stäbelow|0-999999|
G|38208|Kavelstorf|0-999999|
G|38209|Sanitz bei Rostock|0-999999|
G|3821|Ribnitz-Damgarten|00-9999999|
G|38220|Wustrow Ostseebad|0-999999|
G|38221|Marlow|0-999999|
G|38222|Semlow|0-999999|
G|38223|Saal Vorpom|0-999999|
G|38224|Gresenhorst|0-999999|
G|38225|Trinwillershagen|0-999999|
G|38226|Dierhagen Ostseebad|0-999999|
G|38227|Lüdershagen bei Barth|0-999999|
G|38228|Dettmannsdorf-Kölzow|0-999999|
G|38229|Bad Sülze|0-999999|
G|38231|Barth|0-999999|
G|38232|Zingst Ostseebad|0-999999|
G|38233|Prerow Ostseebad|0-999999|
G|38234|Born Darß|0-999999|
G|38292|Kröpelin|0-999999|
G|38293|Kühlungsborn Ostseebad|0-999999|
G|38294|Neubukow|0-999999|
G|38295|Satow bei Bad Doberan|0-999999|
G|38296|Rerik Ostseebad|0-999999|
G|38297|Moitin|0-999999|
G|38300|Insel Hiddensee|0-999999|
G|38301|Putbus|0-999999|
G|38302|Sagard|0-999999|
G|38303|Sellin Ostseebad|0-999999|
G|38304|Garz Rügen|0-999999|
G|38305|Gingst|0-999999|
G|38306|Samtens|0-999999|
G|38307|Poseritz|0-999999|
G|38308|Göhren Rügen|0-999999|
G|38309|Trent|0-999999|
G|3831|Stralsund|00-9999999|
G|38320|Tribsees|0-999999|
G|38321|Martensdorf bei Stralsund|0-999999|
G|38322|Richtenberg|0-999999|
G|38323|Prohn|0-999999|
G|38324|Velgast|0-999999|
G|38325|Rolofshagen|0-999999|
G|38326|Grimmen|0-999999|
G|38327|Elmenhorst Vorpom|0-999999|
G|38328|Miltzow|0-999999|
G|38331|Rakow Vorpom|0-999999|
G|38332|Gross Bisdorf|0-999999|
G|38333|Horst bei Grimmen|0-999999|
G|38334|Grammendorf|0-999999|
G|3834|Greifswald|00-9999999|
G|38351|Mesekenhagen|0-999999|
G|38352|Kemnitz bei Greifswald|0-999999|
G|38353|Gützkow bei Greifswald|0-999999|
G|38354|Wusterhusen|0-999999|
G|38355|Züssow|0-999999|
G|38356|Behrenhoff|0-999999|
G|3836|Wolgast|00-9999999|
G|38370|Kröslin|0-999999|
G|38371|Karlshagen|0-999999|
G|38372|Usedom|0-999999|
G|38373|Katzow|0-999999|
G|38374|Lassan bei Wolgast|0-999999|
G|38375|Koserow|0-999999|
G|38376|Zirchow|0-999999|
G|38377|Zinnowitz|0-999999|
G|38378|Heringsdorf Seebad|0-999999|
G|38379|Benz Usedom|0-999999|
G|3838|Bergen auf Rügen|00-9999999|
G|38391|Altenkirchen Rügen|0-999999|
G|38392|Sassnitz|0-999999|
G|38393|Binz Ostseebad|0-999999|
G|3841|Wismar|00-9999999|
G|38422|Neukloster|0-999999|
G|38423|Bad Kleinen|0-999999|
G|38424|Bobitz|0-999999|
G|38425|Kirchdorf Poel|0-999999|
G|38426|Neuburg-Steinhausen|0-999999|
G|38427|Blowatz|0-999999|
G|38428|Hohenkirchen bei Wismar|0-999999|
G|38429|Glasin|0-999999|
G|3843|Güstrow|00-9999999|
G|3844|Schwaan|00-9999999|
G|38450|Tarnow bei Bützow|0-999999|
G|38451|Hoppenrade bei Güstrow|0-999999|
G|38452|Lalendorf|0-999999|
G|38453|Mistorf|0-999999|
G|38454|Kritzkow|0-999999|
G|38455|Plaaz|0-999999|
G|38456|Langhagen bei Güstrow|0-999999|
G|38457|Krakow am See|0-999999|
G|38458|Zehna|0-999999|
G|38459|Laage|0-999999|
G|38461|Bützow|0-999999|
G|38462|Baumgarten|0-999999|
G|38464|Bernitt|0-999999|
G|38466|Jürgenshagen|0-999999|
G|3847|Sternberg|00-9999999|
G|38481|Witzin|0-999999|
G|38482|Warin|0-999999|
G|38483|Brüel|0-999999|
G|38484|Ventschow|0-999999|
G|38485|Dabel|0-999999|
G|38486|Gustävel|0-999999|
G|38488|Demen|0-999999|
G|385|Schwerin|000-99999999|
G|3860|Raben Steinfeld|00-9999999|
G|3861|Plate|00-9999999|
G|3863|Crivitz|00-9999999|
G|3865|Holthusen|00-9999999|
G|3866|Cambs|00-9999999|
G|3867|Lübstorf|00-9999999|
G|3868|Rastow|00-9999999|
G|3869|Dümmer|00-9999999|
G|3871|Parchim|00-9999999|
G|38720|Grebbin|0-999999|
G|38721|Ziegendorf|0-999999|
G|38722|Raduhn|0-999999|
G|38723|Kladrum|0-999999|
G|38724|Siggelkow|0-999999|
G|38725|Gross Godems|0-999999|
G|38726|Spornitz|0-999999|
G|38727|Mestlin|0-999999|
G|38728|Domsühl|0-999999|
G|38729|Marnitz|0-999999|
G|38731|Lübz|0-999999|
G|38732|Gallin bei Lübz|0-999999|
G|38733|Karbow-Vietlübbe|0-999999|
G|38735|Plau am See|0-999999|
G|38736|Goldberg|0-999999|
G|38737|Ganzlin|0-999999|
G|38738|Karow bei Lübz|0-999999|
G|3874|Ludwigslust|00-9999999|
G|38750|Malliss|0-999999|
G|38751|Picher|0-999999|
G|38752|Zierzow bei Ludwigslust|0-999999|
G|38753|Wöbbelin|0-999999|
G|38754|Leussow bei Ludwigslust|0-999999|
G|38755|Eldena|0-999999|
G|38756|Grabow|0-999999|
G|38757|Neustadt-Glewe|0-999999|
G|38758|Dömitz|0-999999|
G|38759|Tewswoos|0-999999|
G|3876|Perleberg|00-9999999|
G|3877|Wittenberge|00-9999999|
G|38780|Lanz Brandenburg|0-999999|
G|38781|Mellen|0-999999|
G|38782|Reetz bei Perleberg|0-999999|
G|38783|Dallmin|0-999999|
G|38784|Kleinow Kreis Prignitz|0-999999|
G|38785|Berge bei Perleberg|0-999999|
G|38787|Glöwen|0-999999|
G|38788|Gross Warnow|0-999999|
G|38789|Wolfshagen bei Perleberg|0-999999|
G|38791|Bad Wilsnack|0-999999|
G|38792|Lenzen (Elbe)|0-999999|
G|38793|Dergenthin|0-999999|
G|38794|Cumlosen|0-999999|
G|38796|Viesecke|0-999999|
G|38797|Karstädt Kreis Prignitz|0-999999|
G|3881|Grevesmühlen|00-9999999|
G|38821|Lüdersdorf|0-999999|
G|38822|Diedrichshagen bei Grevesmühlen|0-999999|
G|38823|Selmsdorf|0-999999|
G|38824|Mallentin|0-999999|
G|38825|Klütz|0-999999|
G|38826|Dassow|0-999999|
G|38827|Kalkhorst|0-999999|
G|38828|Schönberg|0-999999|
G|3883|Hagenow|00-9999999|
G|38841|Neuhaus Elbe|0-999999|
G|38842|Lüttenmark|0-999999|
G|38843|Bennin|0-999999|
G|38844|Gülze|0-999999|
G|38845|Kaarssen|0-999999|
G|38847|Boizenburg Elbe|0-999999|
G|38848|Vellahn|0-999999|
G|38850|Gammelin|0-999999|
G|38851|Zarrentin|0-999999|
G|38852|Wittenburg|0-999999|
G|38853|Drönnewitz bei Hagenow|0-999999|
G|38854|Redefin|0-999999|
G|38855|Lübtheen|0-999999|
G|38856|Pritzier bei Hagenow|0-999999|
G|38858|Lassahn|0-999999|
G|38859|Alt Zachun|0-999999|
G|3886|Gadebusch|00-9999999|
G|38871|Mühlen Eichsen|0-999999|
G|38872|Rehna|0-999999|
G|38873|Carlow|0-999999|
G|38874|Lützow|0-999999|
G|38875|Schlagsdorf bei Gadebusch|0-999999|
G|38876|Roggendorf|0-999999|
G|39000|Beetzendorf|0-999999|
G|39001|Apenburg|0-999999|
G|39002|Oebisfelde|0-999999|
G|39003|Jübar|0-999999|
G|39004|Köckte bei Gardelegen|0-999999|
G|39005|Kusey|0-999999|
G|39006|Miesterhorst|0-999999|
G|39007|Tangeln|0-999999|
G|39008|Kunrau|0-999999|
G|39009|Badel|0-999999|
G|3901|Salzwedel|00-9999999|
G|3902|Diesdorf Altm|00-9999999|
G|39030|Brunau|0-999999|
G|39031|Dähre|0-999999|
G|39032|Mahlsdorf bei Salzwedel|0-999999|
G|39033|Wallstawe|0-999999|
G|39034|Fleetmark|0-999999|
G|39035|Kuhfelde|0-999999|
G|39036|Binde|0-999999|
G|39037|Pretzier|0-999999|
G|39038|Henningen|0-999999|
G|39039|Bonese|0-999999|
G|3904|Haldensleben|00-9999999|
G|39050|Bartensleben|0-999999|
G|39051|Calvörde|0-999999|
G|39052|Erxleben bei Haldensleben|0-999999|
G|39053|Süplingen|0-999999|
G|39054|Flechtingen|0-999999|
G|39055|Hörsingen|0-999999|
G|39056|Klüden|0-999999|
G|39057|Rätzlingen Sachsen-Anhalt|0-999999|
G|39058|Uthmöden|0-999999|
G|39059|Wegenstedt|0-999999|
G|39061|Weferlingen|0-999999|
G|39062|Bebertal|0-999999|
G|3907|Gardelegen|00-9999999|
G|39080|Kalbe Milde|0-999999|
G|39081|Kakerbeck Sachsen-Anhalt|0-999999|
G|39082|Mieste|0-999999|
G|39083|Messdorf|0-999999|
G|39084|Lindstedt|0-999999|
G|39085|Zichtau|0-999999|
G|39086|Jävenitz|0-999999|
G|39087|Jerchel Altmark|0-999999|
G|39088|Letzlingen|0-999999|
G|39089|Bismark Altmark|0-999999|
G|3909|Klötze Altmark|00-9999999|
G|391|Magdeburg|000-99999999|
G|39200|Gommern|0-999999|
G|39201|Wolmirstedt|0-999999|
G|39202|Gross Ammensleben|0-999999|
G|39203|Barleben|0-999999|
G|39204|Niederndodeleben|0-999999|
G|39205|Langenweddingen|0-999999|
G|39206|Eichenbarleben|0-999999|
G|39207|Colbitz|0-999999|
G|39208|Loitsche|0-999999|
G|39209|Wanzleben|0-999999|
G|3921|Burg bei Magdeburg|00-9999999|
G|39221|Möckern bei Magdeburg|0-999999|
G|39222|Möser|0-999999|
G|39223|Theessen|0-999999|
G|39224|Büden|0-999999|
G|39225|Altengrabow|0-999999|
G|39226|Hohenziatz|0-999999|
G|3923|Zerbst|00-9999999|
G|39241|Leitzkau|0-999999|
G|39242|Prödel|0-999999|
G|39243|Nedlitz bei Zerbst|0-999999|
G|39244|Steutz|0-999999|
G|39245|Loburg|0-999999|
G|39246|Lindau Anh|0-999999|
G|39247|Güterglück|0-999999|
G|39248|Dobritz|0-999999|
G|3925|Stassfurt|00-9999999|
G|39262|Güsten Anh|0-999999|
G|39263|Unseburg|0-999999|
G|39264|Kroppenstedt|0-999999|
G|39265|Löderburg|0-999999|
G|39266|Förderstedt|0-999999|
G|39267|Schneidlingen|0-999999|
G|39268|Egeln|0-999999|
G|3928|Schönebeck Elbe|00-9999999|
G|39291|Calbe Saale|0-999999|
G|39292|Biederitz|0-999999|
G|39293|Dreileben|0-999999|
G|39294|Gross Rosenburg|0-999999|
G|39295|Zuchau|0-999999|
G|39296|Welsleben|0-999999|
G|39297|Eickendorf Kreis Schönebeck|0-999999|
G|39298|Barby Elbe|0-999999|
G|3931|Stendal|00-9999999|
G|39320|Schinne|0-999999|
G|39321|Arneburg|0-999999|
G|39322|Tangermünde|0-999999|
G|39323|Schönhausen Elbe|0-999999|
G|39324|Kläden bei Stendal|0-999999|
G|39325|Vinzelberg|0-999999|
G|39327|Klietz|0-999999|
G|39328|Rochau|0-999999|
G|39329|Möringen|0-999999|
G|3933|Genthin|00-9999999|
G|39341|Redekin|0-999999|
G|39342|Gladau|0-999999|
G|39343|Jerichow|0-999999|
G|39344|Güsen|0-999999|
G|39345|Parchen|0-999999|
G|39346|Tucheim|0-999999|
G|39347|Kade|0-999999|
G|39348|Klitsche|0-999999|
G|39349|Parey Elbe|0-999999|
G|3935|Tangerhütte|00-9999999|
G|39361|Lüderitz|0-999999|
G|39362|Grieben bei Tangerhütte|0-999999|
G|39363|Angern|0-999999|
G|39364|Dolle|0-999999|
G|39365|Bellingen bei Stendal|0-999999|
G|39366|Kehnert|0-999999|
G|3937|Osterburg Altmark|00-9999999|
G|39382|Kamern|0-999999|
G|39383|Sandau Elbe|0-999999|
G|39384|Arendsee Altmark|0-999999|
G|39386|Seehausen Altmark|0-999999|
G|39387|Havelberg|0-999999|
G|39388|Goldbeck Altm|0-999999|
G|39389|Schollene|0-999999|
G|39390|Iden|0-999999|
G|39391|Lückstedt|0-999999|
G|39392|Rönnebeck Sachsen-Anhalt|0-999999|
G|39393|Werben Elbe|0-999999|
G|39394|Hohenberg-Krusemark|0-999999|
G|39395|Wanzer|0-999999|
G|39396|Neukirchen Altmark|0-999999|
G|39397|Geestgottberg|0-999999|
G|39398|Gross Garz|0-999999|
G|39399|Kleinau|0-999999|
G|39400|Wefensleben|0-999999|
G|39401|Neuwegersleben|0-999999|
G|39402|Völpke|0-999999|
G|39403|Gröningen Sachsen-Anhalt|0-999999|
G|39404|Ausleben|0-999999|
G|39405|Hötensleben|0-999999|
G|39406|Harbke|0-999999|
G|39407|Seehausen Börde|0-999999|
G|39408|Hadmersleben|0-999999|
G|39409|Eilsleben|0-999999|
G|3941|Halberstadt|00-9999999|
G|39421|Osterwieck|0-999999|
G|39422|Badersleben|0-999999|
G|39423|Wegeleben|0-999999|
G|39424|Schwanebeck Sachsen-Anhalt|0-999999|
G|39425|Dingelstedt am Huy|0-999999|
G|39426|Hessen|0-999999|
G|39427|Ströbeck|0-999999|
G|39428|Pabstorf|0-999999|
G|3943|Wernigerode|00-9999999|
G|3944|Blankenburg Harz|00-9999999|
G|39451|Wasserleben|0-999999|
G|39452|Ilsenburg|0-999999|
G|39453|Derenburg|0-999999|
G|39454|Elbingerode Harz|0-999999|
G|39455|Schierke|0-999999|
G|39456|Altenbrak|0-999999|
G|39457|Benneckenstein Harz|0-999999|
G|39458|Heudeber|0-999999|
G|39459|Hasselfelde|0-999999|
G|3946|Quedlinburg|00-9999999|
G|3947|Thale|00-9999999|
G|39481|Hedersleben bei Aschersleben|0-999999|
G|39482|Gatersleben|0-999999|
G|39483|Ballenstedt|0-999999|
G|39484|Harzgerode|0-999999|
G|39485|Gernrode Harz|0-999999|
G|39487|Friedrichsbrunn|0-999999|
G|39488|Güntersberge|0-999999|
G|39489|Strassberg Harz|0-999999|
G|3949|Oschersleben Bode|00-9999999|
G|395|Neubrandenburg|000-99999999|
G|39600|Zwiedorf|0-999999|
G|39601|Friedland|0-999999|
G|39602|Kleeth|0-999999|
G|39603|Burg Stargard|0-999999|
G|39604|Wildberg bei Altentreptow|0-999999|
G|39605|Gross Nemerow|0-999999|
G|39606|Glienke|0-999999|
G|39607|Kotelow|0-999999|
G|39608|Staven|0-999999|
G|3961|Altentreptow|00-9999999|
G|3962|Penzlin bei Waren|00-9999999|
G|3963|Woldegk|00-9999999|
G|3964|Bredenfelde bei Strasburg|00-9999999|
G|3965|Burow bei Altentreptow|00-9999999|
G|3966|Cölpin|00-9999999|
G|3967|Oertzenhof bei Strasburg|00-9999999|
G|3968|Schönbeck|00-9999999|
G|3969|Siedenbollentin|00-9999999|
G|3971|Anklam|00-9999999|
G|39721|Liepen bei Anklam|0-999999|
G|39722|Sarnow bei Anklam|0-999999|
G|39723|Krien|0-999999|
G|39724|Klein Bünzow|0-999999|
G|39726|Ducherow|0-999999|
G|39727|Spantekow|0-999999|
G|39728|Medow bei Anklam|0-999999|
G|3973|Pasewalk|00-9999999|
G|39740|Nechlin|0-999999|
G|39741|Jatznick|0-999999|
G|39742|Brüssow bei Pasewalk|0-999999|
G|39743|Zerrenthin|0-999999|
G|39744|Rothenklempenow|0-999999|
G|39745|Hetzdorf bei Strasburg|0-999999|
G|39746|Krackow|0-999999|
G|39747|Züsedom|0-999999|
G|39748|Viereck|0-999999|
G|39749|Grambow bei Pasewalk|0-999999|
G|39751|Penkun|0-999999|
G|39752|Blumenhagen bei Strasburg|0-999999|
G|39753|Strasburg|0-999999|
G|39754|Löcknitz Vorpom|0-999999|
G|3976|Torgelow bei Ueckermünde|00-9999999|
G|39771|Ueckermünde|0-999999|
G|39772|Rothemühl|0-999999|
G|39773|Altwarp|0-999999|
G|39774|Mönkebude|0-999999|
G|39775|Ahlbeck bei Torgelow|0-999999|
G|39776|Hintersee|0-999999|
G|39777|Borkenfriede|0-999999|
G|39778|Ferdinandshof bei Torgelow|0-999999|
G|39779|Eggesin|0-999999|
G|3981|Neustrelitz|00-9999999|
G|39820|Triepkendorf|0-999999|
G|39821|Carpin|0-999999|
G|39822|Kratzeburg|0-999999|
G|39823|Rechlin|0-999999|
G|39824|Hohenzieritz|0-999999|
G|39825|Wokuhl|0-999999|
G|39826|Blankensee bei Neustrelitz|0-999999|
G|39827|Schwarz bei Neustrelitz|0-999999|
G|39828|Wustrow Kreis Mecklenburg-Strelitz|0-999999|
G|39829|Blankenförde|0-999999|
G|39831|Feldberg|0-999999|
G|39832|Wesenberg|0-999999|
G|39833|Mirow Kreis Neustrelitz|0-999999|
G|3984|Prenzlau|00-9999999|
G|39851|Göritz bei Prenzlau|0-999999|
G|39852|Schönermark bei Prenzlau|0-999999|
G|39853|Holzendorf bei Prenzlau|0-999999|
G|39854|Kleptow|0-999999|
G|39855|Parmen-Weggun|0-999999|
G|39856|Beenz bei Prenzlau|0-999999|
G|39857|Drense|0-999999|
G|39858|Bietikow|0-999999|
G|39859|Fürstenwerder|0-999999|
G|39861|Gramzow bei Prenzlau|0-999999|
G|39862|Schmölln bei Prenzlau|0-999999|
G|39863|Seehausen bei Prenzlau|0-999999|
G|3987|Templin|00-9999999|
G|39881|Ringenwalde bei Templin|0-999999|
G|39882|Gollin|0-999999|
G|39883|Groß Dölln|0-999999|
G|39884|Hassleben bei Prenzlau|0-999999|
G|39885|Jakobshagen|0-999999|
G|39886|Milmersdorf|0-999999|
G|39887|Gerswalde|0-999999|
G|39888|Lychen|0-999999|
G|39889|Boitzenburg|0-999999|
G|3991|Waren Müritz|00-9999999|
G|39921|Ankershagen|0-999999|
G|39922|Dambeck bei Röbel|0-999999|
G|39923|Priborn|0-999999|
G|39924|Stuer|0-999999|
G|39925|Wredenhagen|0-999999|
G|39926|Grabowhöfe|0-999999|
G|39927|Nossentiner Hütte|0-999999|
G|39928|Möllenhagen|0-999999|
G|39929|Jabel bei Waren|0-999999|
G|39931|Röbel Müritz|0-999999|
G|39932|Malchow bei Waren|0-999999|
G|39933|Vollrathsruhe|0-999999|
G|39934|Groß Plasten|0-999999|
G|3994|Malchin|00-9999999|
G|39951|Faulenrost|0-999999|
G|39952|Grammentin|0-999999|
G|39953|Schwinkendorf|0-999999|
G|39954|Stavenhagen Reuterstadt|0-999999|
G|39955|Jürgenstorf|0-999999|
G|39956|Neukalen|0-999999|
G|39957|Gielow|0-999999|
G|39959|Dargun|0-999999|
G|3996|Teterow|00-9999999|
G|39971|Gnoien|0-999999|
G|39972|Walkendorf|0-999999|
G|39973|Altkalen|0-999999|
G|39975|Thürkow|0-999999|
G|39976|Groß Bützin|0-999999|
G|39977|Jördenstorf|0-999999|
G|39978|Gross Roge|0-999999|
G|3998|Demmin|00-9999999|
G|39991|Daberkow|0-999999|
G|39992|Görmin|0-999999|
G|39993|Hohenmocker|0-999999|
G|39994|Metschow|0-999999|
G|39995|Nossendorf|0-999999|
G|39996|Törpin|0-999999|
G|39997|Jarmen|0-999999|
G|39998|Loitz bei Demmin|0-999999|
G|39999|Tutow|0-999999|
G|40|Hamburg|000-999999999|
G|4101|Pinneberg|00-9999999|
G|4102|Ahrensburg|00-9999999|
G|4103|Wedel|00-9999999|
G|4104|Aumühle bei Hamburg|00-9999999|
G|4105|Seevetal|00-9999999|
G|4106|Quickborn Kreis Pinneberg|00-9999999|
G|4107|Siek Kreis Stormarn|00-9999999|
G|4108|Rosengarten Kreis Harburg|00-9999999|
G|4109|Tangstedt Bz Hamburg|00-9999999|
G|4120|Ellerhoop|00-9999999|
G|4121|Elmshorn|00-9999999|
G|4122|Uetersen|00-9999999|
G|4123|Barmstedt|00-9999999|
G|4124|Glückstadt|00-9999999|
G|4125|Seestermühe|00-9999999|
G|4126|Horst Holstein|00-9999999|
G|4127|Westerhorn|00-9999999|
G|4128|Kollmar|00-9999999|
G|4129|Haseldorf|00-9999999|
G|4131|Lüneburg|00-9999999|
G|4132|Amelinghausen|00-9999999|
G|4133|Wittorf Kreis Lünebeburg|00-9999999|
G|4134|Embsen Kreis Lünebeburg|00-9999999|
G|4135|Kirchgellersen|00-9999999|
G|4136|Scharnebeck|00-9999999|
G|4137|Barendorf|00-9999999|
G|4138|Betzendorf Kreis Lünebeburg|00-9999999|
G|4139|Hohnstorf Elbe|00-9999999|
G|4140|Estorf Kreis Stade|00-9999999|
G|4141|Stade|00-9999999|
G|4142|Steinkirchen Kreis Stade|00-9999999|
G|4143|Drochtersen|00-9999999|
G|4144|Himmelpforten|00-9999999|
G|4146|Stade-Bützfleth|00-9999999|
G|4148|Drochtersen-Assel|00-9999999|
G|4149|Fredenbeck|00-9999999|
G|4151|Schwarzenbek|00-9999999|
G|4152|Geesthacht|00-9999999|
G|4153|Lauenburg Elbe|00-9999999|
G|4154|Trittau|00-9999999|
G|4155|Büchen|00-9999999|
G|4156|Talkau|00-9999999|
G|4158|Roseburg|00-9999999|
G|4159|Basthorst|00-9999999|
G|4161|Buxtehude|00-9999999|
G|4162|Jork|00-9999999|
G|4163|Horneburg Niederelbe|00-9999999|
G|4164|Harsefeld|00-9999999|
G|4165|Hollenstedt Nordheide|00-9999999|
G|4166|Ahlerstedt|00-9999999|
G|4167|Apensen|00-9999999|
G|4168|Neu Wulmstorf-Elstorf|00-9999999|
G|4169|Sauensiek|00-9999999|
G|4171|Winsen Luhe|00-9999999|
G|4172|Salzhausen|00-9999999|
G|4173|Wulfsen|00-9999999|
G|4174|Stelle Kreis Harburg|00-9999999|
G|4175|Egestorf Nordheide|00-9999999|
G|4176|Marschacht|00-9999999|
G|4177|Drage Elbe|00-9999999|
G|4178|Radbruch|00-9999999|
G|4179|Winsen-Tönnhausen|00-9999999|
G|4180|Königsmoor|00-9999999|
G|4181|Buchholz in der Nordheide|00-9999999|
G|4182|Tostedt|00-9999999|
G|4183|Jesteburg|00-9999999|
G|4184|Hanstedt Nordheide|00-9999999|
G|4185|Marxen Auetal|00-9999999|
G|4186|Buchholz-Trelde|00-9999999|
G|4187|Holm-Seppensen|00-9999999|
G|4188|Welle Nordheide|00-9999999|
G|4189|Undeloh|00-9999999|
G|4191|Kaltenkirchen Holstein|00-9999999|
G|4192|Bad Bramstedt|00-9999999|
G|4193|Henstedt-Ulzburg|00-9999999|
G|4194|Sievershütten|00-9999999|
G|4195|Hartenholm|00-9999999|
G|4202|Achim bei Bremen|00-9999999|
G|4203|Weyhe bei Bremen|00-9999999|
G|4204|Thedinghausen|00-9999999|
G|4205|Ottersberg|00-9999999|
G|4206|Stuhr-Heiligenrode|00-9999999|
G|4207|Oyten|00-9999999|
G|4208|Grasberg|00-9999999|
G|4209|Schwanewede|00-9999999|
G|421|Bremen|000-99999999|
G|4221|Delmenhorst|00-9999999|
G|4222|Ganderkesee|00-9999999|
G|4223|Ganderkesee-Bookholzberg|00-9999999|
G|4224|Gross Ippener|00-9999999|
G|4230|Verden-Walle|00-9999999|
G|4231|Verden Aller|00-9999999|
G|4232|Langwedel Kreis Verden|00-9999999|
